SSID,Signal,Latitude,Longitude
HSELab,15,40.632103333,-8.659326667
HSELab,15,40.63213,-8.659353333
HSELab,15,40.632153333,-8.659385
HSELab,15,40.632176667,-8.659423333
HSELab,15,40.63219,-8.659473333
HSELab,15,40.632198333,-8.659521667
HSELab,15,40.63222,-8.659548333
HSELab,15,40.632245,-8.659588333
HSELab,15,40.632275,-8.659623333
HSELab,15,40.63242,-8.659671667
