SSID,Signal,Latitude,Longitude
ARRIS-F11E,20,40.634423333,-8.659328333
ARRIS-F11E,20,40.63444,-8.659338333
ARRIS-F11E,20,40.634473333,-8.65935
ARRIS-F11E,20,40.634483333,-8.659341667
ARRIS-F11E,20,40.634506667,-8.65926
ARRIS-F11E,20,40.63452,-8.659248333
ARRIS-F11E,20,40.634528333,-8.659225
